MAC1,MAC2,duration,frequency
00054ec044f6,0012f0bbb688,36.8055555555556,36
0012f0bbb688,0012f0ba51c0,14.2972972972973,37
0012f0bbb688,00601d29a832,24.9666666666667,30
0012f0bbb688,00022d73ce55,18,2
00022d73ce55,000d88dd803a,242,1
0012f0bbb688,000d88dd803a,81.6666666666667,9
00022d73ce55,00028a236470,2,1
0012f0c6a17f,00054e462b13,13,1
00054e462b13,001150bf5a13,2.5,2
00042380963b,0012f0bbb688,54.3968253968254,63
000e358c7be5,000d88dd803a,307.666666666667,3
0012f0bbb688,00028a236470,111.290322580645,124
0012f0bbb688,00055da35bfa,37.0508474576271,59
00028a236470,00601d29a832,901.777777777778,9
00028a236470,000e358c7be5,652.242647058824,136
00028a236470,00042380963b,419.444444444444,36
00028a236470,00055da35bfa,106.125,16
00601d29a832,000e358c7be5,71.4444444444444,9
00601d29a832,00042380963b,256.5,2
00601d29a832,00055da35bfa,264,2
000e358c7be5,00042380963b,352.365384615385,52
000e358c7be5,00055da35bfa,650.947368421053,19
00042380963b,00055da35bfa,91.375,8
00055da35bfa,0012f0ba51c0,96.75,8
0012f0ba51c0,00028a236470,613.5,24
000e2efb5233,000af4b7acda,27.8141592920354,226
0012f082b0ae,00ae42fbe382,144.363636363636,11
0012f082b0ae,00028a236470,311.429184549356,233
0012f082b0ae,00601d29a832,42.2307692307692,26
0012f082b0ae,00055da35bfa,189.458333333333,48
00055da35bfa,000d88dd803a,446,2
0004235bcfb1,001124d0d87b,9,1
00ae42fbe382,00904b2e2596,4259,1
00904b2e2596,000e358c7be5,1667.23684210526,152
00042380963b,00904b2e2596,1592.73333333333,15
00022d56b432,003065cb6149,5939,1
0010c676af45,000b7daae405,963,3
000fb5ec34a6,0012f0c8197c,96.5,16
003065ec7be3,009096691b9f,309,1
0012f09832e9,0012f0bbb688,31.777358490566,265
0012f0bbb688,00ae42fbe382,130.857142857143,7
0012f09832e9,00ae42fbe382,158.769230769231,13
0012f082b0ae,00022d167a3a,205.619047619048,21
00601d8993e8,000fb5ec34a6,201.2,5
0012f0c6a17f,000fb5ec34a6,2.5,2
00022d167a3a,000e35c35bc3,79,1
003065a97bb7,000e35c35bc3,127,1
00022d167a3a,001217c93e63,540.8,15
0012f0c6a17f,000af4b7acda,5.68387096774194,155
001124fc442d,000393a9428e,462.2,5
001124fc442d,00054e08bf36,1504,1
000393a9428e,00054e08bf36,4877,1
009096691b9f,009096568572,1542,1
0012f0c6a17f,000b7daae405,19.2571428571429,35
0012f0c6a17f,00ae42fbe382,23.4615384615385,13
000b7daae405,00ae42fbe382,20,1
000e2efb5233,000fb5ec34a6,145.375,16
0012f0c6a17f,00022d167a3a,28.3421052631579,38
000fb5ec34a6,0014a5ad9f5b,441.090909090909,11
0012f09832e9,003065a97bb7,68.8928571428571,28
000fb5ec34a6,000cf1af5de1,385.414634146341,41
0009ef9f3eb9,0011246cad07,62,1
0014a5ad9f5b,000cf1af5de1,720.527777777778,36
000fb5ec34a6,00054e2e3307,516.111111111111,9
0012f09832e9,001150173da7,58.2142857142857,14
00904b2f31b2,0012f09832e9,153.5,10
001195fa35dd,0012f09832e9,32,12
0012f0bbb688,001195fa35dd,37.3870967741936,31
000cf14e841f,0012f0bbb688,25,3
000cf14e841f,001150173da7,21.8333333333333,6
0012f0bbb688,001150173da7,38.5,14
0012f0bbb688,0012f0c6a17f,20.4466403162055,506
0004236ac972,0011246cad07,1,1
000fb5ec34a6,001124a51256,205.473684210526,19
001124a51256,000423fc5b7f,29.5,2
000cf14e841f,0012f09832e9,121,1
001150173da7,003065a97bb7,14.3333333333333,3
0012f09832e9,000423fc5b7f,38.2,5
001150173da7,000423fc5b7f,42,1
0012f0a6ca93,000fb5ec34a6,55.5,14
00022d52ee8e,00022dfb0a7d,17974,2
0012f0a6ca93,0012f0c6a17f,12.28125,32
0012f0c6a17f,0012f09832e9,31.1043771043771,297
0012f09832e9,001217c93e63,104.339622641509,106
0012f09832e9,009047c64aa6,79.6666666666667,6
001195fa35dd,009047c64aa6,67,1
0012f0f635fa,000cf1af5de1,115.78488372093,516
0012f0c8197c,000cf1af5de1,54.8584905660377,106
00022d167a3a,0012f09832e9,87.3703703703704,27
0012f081c713,0012f09832e9,24.9230769230769,65
000fb52eee52,0012f09832e9,126.777777777778,45
0012f0ba51c0,000fb52eee52,446.083333333333,12
0012f0ba51c0,0012f09832e9,68.9821428571429,56
0012f081c713,0012f0ba51c0,92.5555555555556,9
0012f0ba51c0,0012f082b0ae,259.753246753247,77
00054e86b2e1,0012f0ba51c0,1532.88888888889,9
0012f0c6a17f,0012f0ba51c0,46.9363636363636,110
0012f0c6a17f,00022d6c25c8,41.2307692307692,13
0012f0c6a17f,000d88dd803a,10.5,2
00904b7c6496,000393a9428e,1058,2
000e3582d399,00904b7c6496,46.7222222222222,18
0012f0c6a17f,00054e86b2e1,68.3111111111111,225
000e3582d399,00022d4d36b4,2,1
00022d4d36b4,00904b7c6496,38.5,2
00904bb27026,0012f0f635fa,130.969512195122,164
000625e449be,00055da35bfa,230.941176470588,17
0012f0c6a17f,0012f0f635fa,9.20952380952381,210
00055da35bfa,0012f0c0e196,1687.5,4
000af4b7acda,0014a5ad9f5b,111.647058823529,68
00904b7c6496,00054e08bf36,55,1
00601d9e8ca6,0012f0f635fa,129.183673469388,49
000625e449be,0012f0c0e196,235.52380952381,21
00601d9e8ca6,0012f0c8197c,105,20
0012f0c6a17f,000423fc5b7f,14.25,4
0012f0f635fa,000423fc5b7f,33.7142857142857,7
0012f0a6ca93,000423fc5b7f,121.5,2
0012f0f635fa,001150bf5a13,101.118421052632,152
0012f0c6a17f,001217c93e63,62.4888888888889,135
0012f0c8197c,001150bf5a13,75.1764705882353,17
000cf1af5de1,00601d9e8ca6,919.967741935484,31
00601d9e8ca6,0012f0a6ca93,147,5
000cf1af5de1,0012f0a6ca93,70.6506024096386,83
0012f0a6ca93,0012f0c8197c,31.15,120
0012f0c8197c,000423fc5b7f,34.25,4
000423fc5b7f,000cf1af5de1,140.666666666667,3
00022d6c25c8,003065a97bb7,335.5,2
00022d6c25c8,000625e449be,146.692307692308,13
001124a51256,000cf1af5de1,360.349056603774,106
0012f0c8197c,0012f0c6a17f,5.1875,32
0012f0c6a17f,00601d9e8ca6,10.5,8
0012f0c6a17f,003065a97bb7,29.2589928057554,139
0012f0ba51c0,003065a97bb7,279.947368421053,19
0012f081c713,00904b2e2596,37,10
00601d9e8ca6,001124a51256,476.478260869565,23
0012f0a6ca93,00904bb27026,96.3809523809524,21
00904bb27026,000fb5ec34a6,1126.5,4
000fb52eee52,000625e449be,408.75641025641,78
0012f0f635fa,0012f0e66b40,147.837837837838,74
00601d29a832,000b7daae405,1105.5,2
00601d29a832,00054e86b2e1,490.5,6
000b7daae405,00054e86b2e1,560.769230769231,13
000b7daae405,0012f0ba51c0,1000.9,10
00054e86b2e1,000625e449be,364.638095238095,105
00054e2e3307,0012f0a6ca93,47.1470588235294,34
0012f0ba51c0,00904b2e2596,2412.85714285714,7
000625e449be,00904b2e2596,1028.48148148148,27
000e358c7be5,000fb52eee52,632.25,40
000625e449be,000e358c7be5,235.354609929078,141
000625e449be,0012f0c8ad84,299,3
000e358c7be5,0012f0c8ad84,901.090909090909,11
0012f0c8ad84,00028a236470,453.137931034483,29
00028a236470,00054e86b2e1,619.52,75
00028a236470,000625e449be,378.892857142857,56
00028a236470,0030bd92ecfa,1847.92307692308,13
000af4b7acda,000cf1af5de1,65.6866666666667,150
000e35c35bc3,00054e86b2e1,78,1
000cf1af5de1,00054e2e3307,1077.44444444444,63
000af4b7acda,00601d9e8ca6,65.4074074074074,27
000af4b7acda,0012f0c8197c,23.755291005291,756
0012f0c8197c,00054e2e3307,39.2994652406417,187
00054e2e3307,00601d9e8ca6,864.9375,16
000af4b7acda,000e356f1357,52.5806451612903,31
000e356f1357,00054e2e3307,556.181818181818,44
0012f0bbb688,000625e449be,52.4705882352941,255
00054e86b2e1,0012f081c713,31.8,45
0012f081c713,0012f0bbb688,18.3949579831933,119
0012f081c713,000e35fe55ae,10.1875,16
0012f081c713,000625e449be,15.7777777777778,36
000af4b7acda,001124a51256,71.859375,192
0012f0c6a17f,000cf1af5de1,25.9583333333333,24
00054e86b2e1,00053c458c00,56,1
000cf1af5de1,000e356f1357,1357.70967741935,62
0012f0a6ca93,000e356f1357,141.833333333333,18
0012f0d9baad,0012f0bbb688,11.6187050359712,278
0012f0d9baad,000625e449be,65.0882352941177,68
0012f0d9baad,00ae42fbe382,3.5,2
0012f082b0ae,00053c458c00,59.5,2
0012f082b0ae,001195fa35dd,63.125,8
000e35fe55ae,0012f082b0ae,89.2682926829268,41
0012f082b0ae,001217c93e63,390.721854304636,151
0012f0f635fa,000b7daae405,4.5,2
000b7daae405,0012f082b0ae,659.119402985075,67
0012f09832e9,000b7daae405,324.133333333333,30
0012f0bbb688,000b7daae405,86.8,25
000b7daae405,00028a236470,1592.68,25
0012f09832e9,00028a236470,154.633928571429,112
0012f09832e9,000625e449be,117.769230769231,117
00028a236470,00022d6c25c8,135,7
000fb52eee52,00022d6c25c8,1044.6,5
0012f0a6ca93,001124a51256,51.96,25
0012f0c0e196,0012f0f635fa,1,1
0012f0f635fa,00028a236470,334.714285714286,7
0012f0f635fa,0012f0d9baad,9.33333333333333,3
0012f0f635fa,00054e2e3307,55.3313609467456,338
0012f0c6a17f,00053c458c00,26.5714285714286,21
0012f0f635fa,0012f0bbb688,21.1818181818182,11
0012f0c6a17f,0012f0d9baad,14.4173764906303,587
0012f0bbb688,00053c458c00,46.8571428571429,7
0012f0bbb688,0030bd92ecfa,32.3333333333333,12
000b7db2cd2d,000625e449be,272.555555555556,36
