source,destination,start,fin,AP
ff:ff:ff:ff:ff:ff,6b:93:b8:8a:29:3f,1093885201,1093885617,0
12:31:8c:2a:b6:b0,f6:57:85:26:80:db,1093885419,1093885435,1
25:84:b1:64:80:db,8b:17:32:cc:80:db,1093885503,1093885756,1
12:31:8c:2a:b6:b0,84:cd:a6:1b:80:db,1093885356,1093885430,1
12:31:8c:2a:b6:b0,aa:26:a5:13:80:db,1093885490,1093885537,1
12:31:8c:2a:b6:b0,07:ee:df:d1:80:db,1093885402,1093885435,1
12:31:8c:2a:b6:b0,59:72:f7:b8:80:db,1093885354,1093885443,1
12:31:8c:2a:b6:b0,44:0d:43:aa:80:db,1093885401,1093885826,1
12:31:8c:2a:b6:b0,13:d9:61:0d:80:db,1093885421,1093885430,1
af:45:3a:55:52:01,c8:28:17:8f:52:d7,1093885661,1093885667,1
25:84:b1:64:80:db,06:4f:44:21:80:db,1093885533,1093885814,1
25:84:b1:64:80:db,06:12:d3:ff:80:db,1093885296,1093885575,1
af:45:3a:59:d4:15,47:11:32:cc:52:d7,1093885597,1093885863,1
af:45:3a:59:d4:15,46:11:32:cc:52:d7,1093885584,1093885854,1
a0:45:3a:59:38:01,f8:33:c9:b1:53:0b,1093885486,1093885859,1
12:31:8c:2a:b6:b0,06:12:ef:50:80:db,1093885543,1093885551,1
12:31:8c:2a:b6:b0,25:21:00:c9:80:db,1093885326,1093885587,1
12:31:8c:2a:b6:b0,c4:ed:a7:23:80:db,1093885421,1093885573,1
12:31:8c:2a:b6:b0,ab:c6:a2:00:80:db,1093885291,1093885430,1
12:31:8c:2a:b6:b0,d9:50:21:9e:80:db,1093885476,1093885527,0
12:31:8c:2a:b6:b0,d9:50:21:ae:80:db,1093885421,1093885589,1
12:31:8c:2a:b6:b0,ab:c6:61:0d:80:db,1093885430,1093885538,1
12:31:8c:2a:b6:b0,30:8e:61:0d:80:db,1093885430,1093885540,1
12:31:8c:2a:b6:b0,d9:ed:c8:ae:80:db,1093885262,1093885530,1
6d:d3:23:45:a7:b0,45:93:50:2a:a7:b0,1093885341,1093885662,1
12:31:8c:2a:b6:b0,0c:3c:01:af:80:db,1093885387,1093885648,1
12:31:8c:2a:b6:b0,36:35:e9:b3:80:db,1093885186,1093885615,0
12:31:8c:2a:b6:b0,7a:50:73:65:80:db,1093885283,1093885411,1
25:84:b1:64:80:db,36:35:e9:b3:80:db,1093885182,1093885579,0
ff:ff:ff:ff:ff:ff,ad:f3:e6:2f:41:3f,1093885190,1093885883,0
11:7e:5d:6b:a8:ad,36:35:e9:b3:a8:ad,1093885180,1093885605,0
68:25:81:6c:b6:b0,00:40:96:a1:2b:89,1093885187,1093885451,0
6d:d3:23:45:a7:b0,36:35:e9:b3:a7:b0,1093885184,1093885630,0
12:31:8c:2a:b6:b0,4c:57:82:f5:80:db,1093885202,1093885764,0
12:31:8c:2a:b6:b0,8b:f7:72:c5:80:db,1093885197,1093885314,0
68:25:81:6c:b6:b0,36:35:e9:b3:2b:89,1093885288,1093885331,0
c6:aa:af:3d:b6:b0,00:40:96:a1:2b:89,1093885187,1093885451,0
12:31:8c:2a:b6:b0,52:11:32:cc:80:db,1093885831,1093885892,1
11:7e:5d:6b:a8:ad,cb:f6:6a:bb:a8:ad,1093885729,1093885930,1
11:7e:5d:6b:a8:ad,41:8a:3f:8b:a8:ad,1093885316,1093885941,1
6d:d3:23:45:a7:b0,86:ed:56:2b:a7:b0,1093885376,1093885837,1
11:7e:5d:6b:a8:ad,27:26:6b:10:a8:ad,1093885289,1093885910,1
12:31:8c:2a:b6:b0,6e:b5:80:8a:80:db,1093885331,1093886016,1
ff:ff:ff:ff:ff:ff,8b:61:f3:f0:fb:7e,1093885194,1093885699,0
12:31:8c:2a:b6:b0,67:bf:74:99:80:db,1093885386,1093885651,1
12:31:8c:2a:b6:b0,b4:11:32:de:80:db,1093885354,1093886005,1
12:31:8c:2a:b6:b0,89:67:5f:70:80:db,1093885421,1093885580,1
6d:d3:23:45:a7:b0,ff:ae:c3:93:a7:b0,1093885337,1093885783,1
25:84:b1:64:80:db,4c:57:82:f5:80:db,1093885271,1093885904,0
12:31:8c:2a:b6:b0,46:fe:f9:3e:80:db,1093886014,1093886016,1
ff:ff:ff:ff:1f:74,ff:ff:ff:ff:ff:ff,1093885193,1093885772,0
6d:d3:23:45:a7:b0,0a:fc:2f:6b:a7:b0,1093885202,1093885535,1
6d:d3:23:45:a7:b0,56:e7:2f:f9:a7:b0,1093885558,1093885614,1
12:31:8c:2a:b6:b0,cb:5e:d6:a6:80:db,1093885428,1093885762,1
12:31:8c:2a:b6:b0,d1:1b:eb:da:80:db,1093885443,1093885844,1
12:31:8c:2a:b6:b0,41:86:55:8b:80:db,1093885332,1093885990,1
12:31:8c:2a:b6:b0,83:86:55:8b:80:db,1093885382,1093885991,1
12:31:8c:2a:b6:b0,e2:01:74:99:80:db,1093885385,1093885987,1
12:31:8c:2a:b6:b0,99:46:39:8b:80:db,1093885384,1093886000,1
12:31:8c:2a:b6:b0,99:a1:80:8a:80:db,1093885260,1093886015,1
6d:d3:23:45:a7:b0,d5:36:43:da:a7:b0,1093885768,1093885805,1
12:31:8c:2a:b6:b0,a3:05:83:d5:80:db,1093885415,1093885434,1
12:31:8c:2a:b6:b0,38:ac:74:99:80:db,1093885338,1093886046,1
12:31:8c:2a:b6:b0,0c:3c:c1:c3:80:db,1093885355,1093885993,1
12:31:8c:2a:b6:b0,6e:52:f4:b3:80:db,1093885450,1093885576,1
12:31:8c:2a:b6:b0,a8:f2:f3:b3:80:db,1093885425,1093886010,1
12:31:8c:2a:b6:b0,45:51:73:65:80:db,1093885396,1093886019,1
12:31:8c:2a:b6:b0,44:51:73:65:80:db,1093885588,1093886048,1
ff:ff:ff:ff:ff:ff,25:5a:80:40:bd:ec,1093885652,1093885858,0
af:45:3a:59:d4:d9,2d:27:a5:f7:52:d7,1093885723,1093885834,1
11:7e:5d:6b:a8:ad,2f:0d:43:aa:a8:ad,1093885474,1093885825,1
af:45:3a:9a:59:14,f9:e9:a5:b1:53:d7,1093885470,1093885857,1
12:31:8c:2a:b6:b0,72:83:d3:d8:80:db,1093885452,1093885586,1
12:31:8c:2a:b6:b0,2b:10:0c:3f:80:db,1093885235,1093886011,1
12:31:8c:2a:b6:b0,a0:1a:eb:da:80:db,1093885389,1093886003,1
af:45:3a:59:d4:15,2d:27:a5:f7:52:d7,1093885534,1093885624,1
e8:45:3a:59:d4:d9,aa:26:33:f6:52:8b,1093885508,1093885583,1
af:45:3a:59:d4:15,94:71:33:bb:52:d7,1093885607,1093885710,1
12:31:8c:2a:b6:b0,ff:87:4d:6a:80:db,1093885988,1093885992,0
af:45:3a:34:58:15,aa:26:33:1a:53:d7,1093885601,1093885823,1
af:45:3a:59:d4:15,c8:e8:e6:f4:1a:d7,1093885609,1093885993,1
11:7e:5d:6b:a8:ad,82:3b:0f:8a:a8:ad,1093885459,1093885643,1
25:84:b1:64:80:db,94:71:33:f6:80:db,1093885946,1093886047,1
12:31:8c:2a:b6:b0,a2:7d:32:bb:80:db,1093885448,1093885979,1
e7:45:3a:59:d4:15,f8:e9:2d:b5:53:57,1093885558,1093885844,1
12:31:8c:2a:b6:b0,e7:27:33:bb:80:db,1093885537,1093885937,1
12:31:8c:2a:b6:b0,41:a1:a0:98:80:db,1093885389,1093885454,1
11:7e:5d:6b:a8:ad,f4:4c:f6:b8:a8:ad,1093885354,1093886042,1
fe:6f:4b:8b:76:23,11:7e:5d:6b:a8:ad,1093885437,1093885481,0
42:b0:02:de:b6:b0,00:40:96:a1:2b:89,1093885187,1093885451,0
ff:ff:ff:ff:ff:ff,da:6d:ca:fb:a7:f4,1093885584,1093885745,0
11:7e:5d:6b:a8:ad,00:c9:fa:b3:a8:ad,1093885684,1093885913,0
6d:d3:23:45:a7:b0,00:c9:fa:b3:a7:b0,1093885685,1093885893,0
11:7e:5d:6b:a8:ad,82:f6:6a:8b:a8:ad,1093885228,1093886054,1
11:7e:5d:6b:a8:ad,cb:1b:1d:ba:a8:ad,1093885307,1093886022,1
6d:d3:23:45:a7:b0,46:fe:c7:0d:a7:b0,1093885707,1093885820,0
6d:d3:23:45:a7:b0,11:18:2c:3e:a7:b0,1093885250,1093885628,0
6d:d3:23:45:a7:b0,5e:10:cf:7d:a7:b0,1093885381,1093886029,1
12:31:8c:2a:b6:b0,00:c9:fa:b3:80:db,1093885684,1093885831,0
25:84:b1:64:80:db,00:c9:fa:b3:80:db,1093885684,1093885872,0
c6:aa:af:3d:a7:b0,00:40:96:a1:2b:89,1093885187,1093885451,0
12:31:8c:2a:b6:b0,d4:a1:80:8a:80:db,1093885985,1093886059,1
ff:ff:ff:ff:ff:ff,00:c9:fa:b3:ff:ff,1093885777,1093885795,0
12:31:8c:2a:b6:b0,46:4f:44:0d:80:db,1093885436,1093886014,0
12:31:8c:2a:b6:b0,29:ea:0c:3f:80:db,1093885400,1093885945,1
12:31:8c:2a:b6:b0,ca:a1:80:8a:80:db,1093885395,1093886018,1
12:31:8c:2a:b6:b0,c1:c2:f2:b3:80:db,1093885441,1093885578,0
12:31:8c:2a:b6:b0,5b:ff:0c:3f:80:db,1093885221,1093885893,1
12:31:8c:2a:b6:b0,4e:7f:ba:c1:80:db,1093885298,1093886015,1
12:31:8c:2a:b6:b0,f3:0a:04:94:80:db,1093885440,1093885779,1
12:31:8c:2a:b6:b0,0c:be:74:c4:80:db,1093885448,1093885619,1
